loan_id,customer_id,daily_rate,days_elapsed,days_til_lockout,total_paid
589556,1351176,270,265,-13,52355
586196,1344957,160,268,-46,24160
797091,1794153,130,94,6,11000
552403,1291070,175,225,-120,13825
812210,1827368,280,83,5,23000
891510,1989069,130,25,4,3000
565181,1313650,160,281,3,44200
447804,1070370,140,410,5,51500
605225,1379028,140,253,0,29274
798485,1797235,165,92,2,11400
852045,1914487,165,58,1,8800
751284,1693212,130,124,2,17000
690390,1305531,360,173,1,54521
532531,1245236,160,312,11,45750
695647,1577098,480,168,-46,53680
494199,1157737,275,357,4,89000
572593,1324653,140,277,0,36640
568514,1318447,140,279,9,37000
446496,1067302,240,288,77,78610
897006,1998006,280,20,4,5400
653030,1486186,175,207,0,32325
532600,1245034,240,312,25,69000
856877,1804884,250,54,3,12500
546198,1276784,140,178,-6,14160
617665,1405512,160,242,0,35970
563052,1310520,270,199,-139,4180
519728,1215816,175,327,1,57500
779523,1756158,165,104,10,6584
437873,1047036,240,358,39,84871
787786,1773371,280,100,1,26500
610926,1390777,300,248,3,48425
418924,1002281,500,131,-118,0
560165,1304969,175,284,14,51700
510754,1195443,160,337,3,53150
493023,1155129,295,271,-201,17700
735225,1406799,360,137,1,38940
436791,1044608,140,423,5,57400
839289,1886418,165,67,-11,8000
625197,1422628,275,234,10,68000
598490,1366203,240,259,3,61000
453423,1083667,140,403,9,54600
818318,1840987,130,80,7,9710
617138,1188953,275,242,-19,36100
559313,1303589,140,202,-188,1000
848042,1905451,165,62,26,13000
736936,1661015,165,137,7,21700
456915,1090241,240,315,48,85113
805134,1811771,500,88,0,38000
481246,1132225,475,330,-1,168395
816430,1268856,360,81,23,8500
869664,1952342,165,41,-1,4755
743717,1676282,165,130,2,20000
823078,1851403,250,77,2,18000
842640,1204653,360,65,7,21531
860595,1932756,500,50,1,22000
675225,1536078,475,138,-121,5000
788822,1775665,500,99,4,47000
891411,1988183,165,24,13,5000
513524,1201931,300,334,14,99621
867132,1946944,500,43,4,20000
756283,1704383,165,119,0,17122
559436,1303850,275,285,6,72250
514576,1204375,270,331,39,80670
571107,1322452,275,278,2,72350
621955,1415452,275,237,6,57800
598695,1366598,160,258,4,42546
821066,1847035,165,78,1,12000
816058,1835908,165,81,-19,8200
544498,1272849,275,297,-95,36525
553639,1293583,300,288,2,83600
425846,1018742,500,382,-119,44000
553104,1292475,300,233,-54,30000
611129,1391255,270,248,5,46790
784902,1767738,165,101,1,14850
437791,1046888,240,365,0,86311
904957,2012085,500,14,13,10000
651425,1482588,160,209,18,29700
791793,1782386,250,98,5,22750
398999,954748,140,350,272,84540
872741,1305147,165,38,8,6750
778529,1753960,130,104,6,13000
913839,2030671,130,6,8,1000
818631,1838146,220,80,8,18000
735648,1658109,165,138,7,22145
802065,1805095,165,90,3,13350
870330,1953798,500,41,6,20000
811450,1730042,130,84,0,10450
527419,1233334,175,319,-55,11275
783583,1764915,130,102,-55,5130
547821,1280491,300,293,6,83450
793284,1785661,150,96,1,13500
666737,1517024,175,194,22,35216
614823,1399250,475,244,4,117000
673159,1313742,330,188,-33,35937
806552,1729273,500,87,-9,33705
834052,1875145,500,70,-8,22000
750288,1691010,150,125,-9,12000
820902,1846700,280,78,-1,20290
647456,1473473,500,210,6,100500
858634,1928598,500,52,3,24000
741782,1671905,165,132,61,30500
817883,1840046,165,80,1,12300
586887,1346145,160,267,0,36221
823540,1557147,165,77,26,15550
569106,1319515,270,279,2,36600
536393,1254296,160,306,-69,29075
628289,1429649,275,232,-1,61100
570547,1321453,140,278,0,36300
615334,1400379,140,244,6,26000
736808,1660764,500,137,15,70500
615702,1401271,175,243,3,43550
616877,1403775,175,241,1,37075
515377,1206326,240,332,21,78900
532670,1245560,500,312,3,142000
514678,1204626,275,333,0,86275
458708,1093119,475,399,-73,113000
556956,1299667,275,286,-7,63500
841163,1890462,500,66,2,30500
678149,1542755,175,183,112,47250
599877,1368721,160,257,13,43400
628792,1430816,175,231,3,26100
507927,1188794,140,341,4,46000
912618,1775745,360,7,97,0
731683,1202087,360,141,6,51149
789241,1776583,280,99,1,24700
811190,1825121,165,84,8,12795
894364,1993859,280,22,7,6700
811079,1757976,280,84,-53,7290
821939,1848944,130,78,9,10300
720557,1624072,175,150,-1,22700
683594,1555054,175,178,25,31150
891749,1989478,150,24,3,3000
638452,1452809,270,222,0,54977
884229,1977590,130,30,4,3600
825752,1857192,165,75,10,13000
734890,1656387,165,138,13,19850
593579,1357492,160,263,-6,29600
718280,1619612,160,152,28,27500
586231,1345007,240,268,0,62340
803427,1808032,500,89,1,30500
800043,1800621,500,91,4,22500
723935,1631432,500,147,1,65000
801815,1782360,500,90,4,38000
768936,1732720,165,111,9,18500
