customer_id,country,region,Profession ,,,,
1351176,Benin,Oueme,Tehnician,,,,
1344957,Benin,Alibori,Doctor,,,,
1794153,Benin,Oueme,Teacher,,,,
1291070,Benin,Atlantique,Tehnician,,,,
1827368,Benin,Oueme,Cmmercial,,,,
1989069,Benin,Zou,Doctor,,,,
1313650,Benin,Borgou,Ingenieur,,,,
1070370,Benin,Couffo,Cmmercial,,,,
1379028,Benin,Atlantique,Teacher,,,,
1797235,Benin,Mono,Farmer,,,,
1914487,Benin,Atlantique,Tehnician,,,,
1693212,Benin,Oueme,Ingenieur,,,,
1305531,Benin,Borgou,Driver,,,,
1245236,Benin,Zou,Driver,,,,
1577098,Benin,Couffo,Ingenieur,,,,
1157737,Benin,Borgou,Doctor,,,,
1324653,Benin,Atlantique,Driver,,,,
1318447,Benin,Borgou,Statistian,,,,
1067302,Benin,Zou,Nurse,,,,
1998006,Benin,Borgou,Tehnician,,,,
1486186,Benin,Plateau,Nurse,,,,
1245034,Benin,Borgou,Teacher,,,,
1804884,Benin,Oueme,Teacher,,,,
1276784,Benin,Atacora,Farmer,,,,
1405512,Benin,Collines,Tehnician,,,,
1310520,Benin,Alibori,Statistian,,,,
1215816,Benin,Mono,Farmer,,,,
1756158,Benin,Mono,Tehnician,,,,
1047036,Benin,Atlantique,Security agent,,,,
1773371,Benin,Oueme,Doctor,,,,
1390777,Benin,Couffo,Cmmercial,,,,
1002281,Benin,Zou,Farmer,,,,
1304969,Benin,Donga,Teacher,,,,
1195443,Benin,Atlantique,Cmmercial,,,,
1155129,Benin,Borgou,Farmer,,,,
1406799,Benin,Oueme,Farmer,,,,
1044608,Benin,Atlantique,Farmer,,,,
1886418,Benin,Alibori,Nurse,,,,
1422628,Benin,Oueme,Driver,,,,
1366203,Benin,Littoral,Statistian,,,,
1083667,Benin,Atlantique,Doctor,,,,
1840987,Benin,Atlantique,Statistian,,,,
1188953,Benin,Oueme,Statistian,,,,
1303589,Benin,Oueme,Ingenieur,,,,
1905451,Benin,Zou,Teacher,,,,
1661015,Benin,Borgou,Tehnician,,,,
1090241,Benin,Littoral,Cmmercial,,,,
1811771,Benin,Atlantique,Farmer,,,,
1132225,Benin,Atlantique,Security agent,,,,
1268856,Benin,Littoral,Doctor,,,,
1952342,Benin,Atlantique,Doctor,,,,
1676282,Benin,Atlantique,Tehnician,,,,
