loan_id,product_type,date_fulfilled_utc,,,,
589556,Fenix 3,6/5/19 10:45,,,,
586196,Fenix 3,6/2/19 11:11,,,,
797091,Fenix 2,11/23/19 17:36,,,,
552403,Fenix Radio +3,5/12/19 10:20,,,,
812210,Fenix Power 4 + Woofer BJ,12/4/19 10:53,,,,
891510,Fenix 2,1/31/20 17:47,,,,
565181,Fenix 3,5/20/19 16:54,,,,
447804,Fenix 2,1/11/19 10:29,,,,
605225,Fenix 2,6/17/19 16:36,,,,
798485,Fenix Radio +3,11/25/19 12:59,,,,
852045,Fenix Radio +3,12/29/19 10:44,,,,
751284,Fenix 2,10/24/19 10:23,,,,
690390,"Fenix Power TV 24in FTA Upgrade, BJ",9/5/19 15:36,,,,
532531,Fenix 3,4/19/19 13:17,,,,
695647,Fenix Power TV 19in FTA BJ,9/10/19 14:27,,,,
494199,Fenix Radio +5,3/5/19 10:43,,,,
572593,Fenix 2,5/24/19 12:03,,,,
568514,Fenix 2,5/22/19 12:45,,,,
446496,Fenix 2,1/9/19 20:35,,,,
897006,Fenix Radio +3,2/5/20 12:03,,,,
653030,Fenix Radio +3,8/2/19 14:11,,,,
532600,Fenix 2,4/19/19 14:03,,,,
856877,Fenix 3,1/2/20 15:40,,,,
546198,Fenix 2,5/6/19 17:00,,,,
617665,Fenix 3,6/28/19 14:17,,,,
563052,Fenix 3,5/19/19 12:45,,,,
519728,Fenix Radio +3,4/4/19 9:29,,,,
779523,Fenix Radio +3,11/13/19 19:30,,,,
437873,Fenix 2,12/31/18 16:37,,,,
787786,Fenix Radio +3,11/17/19 16:46,,,,
610926,Fenix Radio +3,6/22/19 12:41,,,,
418924,Fenix Woofer +3,12/14/18 17:35,,,,
560165,Fenix Radio +3,5/17/19 10:31,,,,
510754,Fenix 3,3/25/19 15:30,,,,
493023,Fenix Woofer +3,3/8/19 13:51,,,,
735225,"Fenix Power TV 24in FTA Upgrade, BJ",10/11/19 9:25,,,,
436791,Fenix 2,12/29/18 21:13,,,,
839289,Fenix Radio +3,12/20/19 13:14,,,,
625197,Fenix Radio +5,7/6/19 9:52,,,,
598490,Fenix 2,6/11/19 17:18,,,,
453423,Fenix 2,1/18/19 9:41,,,,
818318,Fenix 2,12/7/19 16:44,,,,
617138,Fenix Radio +5,6/28/19 8:33,,,,
559313,Fenix 2,5/16/19 14:27,,,,
848042,Fenix Radio +3,12/25/19 14:01,,,,
736936,Fenix Radio +3,10/11/19 16:57,,,,
456915,Fenix 2,1/26/19 8:15,,,,
805134,Fenix Power TV 24in FTA BJ,11/29/19 14:44,,,,
481246,Fenix Radio +5,2/14/19 15:09,,,,
816430,"Fenix Power TV 24in FTA Upgrade, BJ",12/6/19 14:03,,,,
869664,Fenix Radio +3,1/15/20 10:39,,,,
743717,Fenix Radio +3,10/18/19 8:48,,,,
823078,Fenix Radio +5,12/10/19 14:27,,,,
