,Handles
1,@EswatiniGovern1
2,@MalawiGovt
3,@hagegeingob
4,@FinanceSC
5,@PresidencyZA
6,@mohzambia
7,@edmnangagwa
8,@MinSantedj
9,@hawelti
10,@StateHouseKenya
11,@PaulKagame
12,@M_Farmaajo
13,@SouthSudanGov
14,@SudanPMHamdok
15,@TZSpokesperson
16,@KagutaMuseveni
17,@angola_Mirex
18,@willynyamitwe
19,@Cherif_MZ
20,@Presidence_RDC
21,@PresidentABO
22,@PresidenceBenin
23,@rochkaborepf
24,@PresidenciaCV
25,@AOuattara_PRCI
26,@Presidency_GMB
27,@NAkufoAddo
28,@President_GN
29,@USEmbalo
30,@PresidenceMali
31,@CheikhGhazouani
32,@IssoufouMhm
33,@MBuhari
34,@Macky_Sall
35,@PresidentBio
36,@MSPS_Togo
