,@Trevornoah,@GarethCliff,@SAPresident,@News24,@Julius_S_Malema,@helenzille,@mailandguardian,@5FM,@loyisogola,@Computicket,@MTVbaseAfrica,@OfficialCSA,@UlrichJvV,@euphonik,@BBCAndrewH,@Camfed,@BobSkinstad,@SamsungSA,@liveamp,@hartleyr,@SmithInAfrica,@gertjohan,@_AfricanUnion,@SandtonCity,@ParliamentofRSA,@Mo_IbrahimFdn,@NDOCKenya,@PeterGreste,@JendayiFrazer,@art2gee,@IECSouthAfrica,@forbesafrica,@Entrepreneur_SA,@geoffreyyork,@HenleyAfrica,@IFCAfrica,@africaprogress,@MbuyiseniNdlozi,@FoodBlogCT,@AfricaResearch,@MadeItInAfrica,@cnbcafrica,@willintune,@AfricaGoodNews,@ThinkAfricaFeed,@CityofJoburgZA,@theafricareport,@schneiderhome,@TheStar_news,@rangerdiaries,@daniel_howden,@Aynte,@GautengProvince,@TechCentral,@africamedia_CPJ,@savetherhino,@mary_harper,@okayafrica,@africagathering,@MercedesBenz_SA,@ayittey,@cx73,@africatechie,@Hamza_Africa,@ONEinAfrica,@audisouthafrica,@thisisafrica,@jaxpanik,@forbeesta,@t_mcconnell,@equal_education,@mikestopforth,@iamsuede,@JamalMOsman,@KahnMorbee,@artsouthafrica,@malonebarry,@InvestInAfrica,@TheEIU_Africa,@sarzss,@VISI_Mag,@BrendanSAfrica
0,BlackPeoplePenance,SoWhatNow,FridayFelling,TheBacheloretteSA,TBTChallenge,GBV,Eskom,MandelaDay2020,CRYMUN,VanPletzen,TBT,3TCricket,AllmeansALL,euNITE947,weatherstationlab,WhatsYour2040,WaterfordEstate,SisonkeWithGalaxy,LiveAMP,GERD,,strongtogether,AUTender,BladesandTriggers,Mandela,COVID19,DesertLocust,PressFreedom,CMUAfrica,5G,COVID19SA,CNBCAfrica,failure,hydroxychloroquine,Leadership,Ghana,investment,MakhayaNtini,EnthusiastBeanKit,Mozambique,DRC,CNBCAfrica,OSINT,COVID19,Africa,JoburgServices,Nigeria,IstandwithLungiNgidi,MandelaDay,nationalparks,EditionSpéciale,Somalia,GautengReliefFund,ImStaying,pressfreedom,rhinofilmclub,Mogadishu,DontLeaveMeChallenge,COVID19,C63,COVID19,Knysna,startups,Mali,ONEAfricaAward,audisouthafrica,,NowPlaying,JusticeForToyin,Kenya,SchoolMealsNow,Harties,TheNod,Africa,BoxOffice,Art,Ethiopia,stockexchange,Mali,lockdown,PicksOfTheWeek,StopTheBantustanBills
1,BlackLivesMatter,SoWhatNow,FullLoadWorkPresure,StateCaptureInquiry,SAMA26,Women,67minutes,67Minutes,LaLiga,GMABenefitConcert,ThrowbackThursday,SolidarityCup,DealingWithDebt,947MixAt6,weatherstation,COVID19,Knife10x,topempowerment,LiveAMP,armsdeal,,InYourVeins,AUProcurement,Exact,MandelaDay,COVID19,Ethiopia,journalismisnotacrime,coronavirus,BitcoinScam,ConCourt,CNBCAfrica,successfulpeople,COVID19,WorldEmojiDay,Nairobi,invest,COVID19InformalSettlement,Shrew,Cameroon,Tanzanian,CNBCAfrica,Portugal,africa,Sahel,CRSwart,Nigeria,BuildBackBetter,MandelaDay,gamereserves,InvisibleWorkers,GoodNews,COVID19,telecoms,,rhinofilmclub,alshabaab,DontLeaveMeChallenge,Juneteenth,C63S,Africans,LakeBrenton,EtatsUnis,Ethiopia,SDGs,tbt,,selfmedikasie,AnzacDay,Kenya,9MillionMeals,Waterhyacinth,DefundThePolice,Chinese,meatfreemonday,ArtistOfTheMonthASA,QAnon,tokens,SSA,COVID19,PicksOfTheWeek,Right2SayNo
2,BlackOutTuesday,SoWhatNow,business,MapitiMatsena,Loadshedding,VBSArrests,COVID__19,MandelaDay2020,LaLiga,GMABenefitConcert,MTVBaseLounge,BlackLivesMatter,ValuesAndMoney,FreshOn947,snow,WorldYouthSkillsDay2020,iKubu,transformation,LiveAMP,SouthAfrica,,InYourVeins,AUTender,Witchery,MandelaDay2020,NowGeneration,KomeshaCorona,PerspectivesAsia,Africa,digitalisation,FakeNewsAlert,Madagascar,day40oflockdown,covid19ls,Emojis,IFCHerHome,DidYouKnow,MalemaReturnsToANC,ShrewedShopper,urban,Uganda,CNBCSpecial,RSF,SDGs,Chad,ward102update,SouthAfrica,NigerDelta,MandelaDay,elephants,Lesvos,Somalia,COVID19,,,COVID19,AccessToLeaders,UPSIDEDOWN,Juneteenth,DrivingPerformance,African,J,twitterhacked,Nigeria,COVID19,sportquattro,,FallonTonight,symptoms,UniversalBasicIncome,schoolmealsnow,2020visions,PVALLEYPremiere,Malawi,CollinsKhosa,ArtSouthAfrica,RIP,DLT,Malawi,coronavirus,VISIDecor,Xolobeni
3,JusticeForGeorgeFloyd,SoWhatNow,Self,MapitiMatsena,Eskom,VBS,EndHighSchoolInSawa,67Minutes,ARSLIV,MissSa2020,MTVbaseLounge,3TCricket,ValuesAndMoney,eNITE947,weather,TogetherWeCan,notonlysports,Samsung,LiveAMP,Vietnam,,TrustedtoSaveLives,AUProcurement,IconicSandton,MandelaLecture,pandemic,desertlocust,abc730,COVID19,ScienceAtWork,Level3Restrictions,Madagascar,ChooseDay,sabcnews,Leadership,Nigeria,DYK,sabcnews,CaughtOnline,Zimbabwe,COVID19,MandelaDay,DaphneCaruanaGalizia,Africa,Africa,BouldersMallCriticalPlannedPowerInterruption,MandelaDay2020,maketheUturn,MandelaDay,desert,Greece,Ethiopia,Masuku,,,rhinos,Hargeysa,PungweSessions,bkacklivesmatter,AMG,Eritrea,KabeljauwsRiver,twitterhacked,Magu,ONEChampions,audisouthafrica,,Eminem,MalawiElections2019,Kenya,SouthAfrica,TracyZille,PVALLEYPremiere,Thread,theshowmustbepaused,LoveOfArt,Syria,blockchain,Zimbabwe,Covid_19,VISIArt,CyrilRamaphosa
4,CincUp,CliffCentralApp,Motivation,MapitiMatsena,EFFTurns7,day78oflockdown,Eritrea,ForbesAndFix,Sopranos,FaceYourPower,MTVbaseLounge,BlackLivesMatter,DealingWithDebt,Unite,myfirstTweet,TogetherWeCan,trustyourgut,Samsung,LiveAMP,coronavirus,,InYourVeins,youth,BuildTomorrowTogether,MandelaDay,health,Flood,CourageON,COVID19,WomenInScience,Level3Regulations,AgainstTheodds,lockdown,RSA,Wisdom,WorldYouthSkillsDay,agricultural,COVID19,coffee,urban,Nairobi,DStv410,Ethiopia,COVID,Lesotho,OutageUpdate,Nigeria,LabourReport,MandelaDay,snow,Migration,YemenCrisis,COVID19,,,COVID19,caraccident,JusticeForTshegoPule,DominicRaab,NSFW,rich,Sunrise,renforcementdescapacités,Ethiopia,COVID19,audietron,,Drake,SAElections2019,Kenya,COVID,data,REDTABLETALK,Ethiopia,notoracism,Painting,GrenfellInquiry,equities,Malawi,coronavirus,VISILifestyle,media
5,coronavirus,GCS,confidence,ExtendTheLicence,EFFOnlineStore,ClassicFawlty,Covid19,UnpopularOpinion,SaveLiveComedy,EmbraceYourFuture,MTVBaseLounge,equality,COVID19,euNITE947,,COVID,ifyoubuildittheywillcome,AddWash,LiveAMP,Lesotho,,TrustedtoSaveLives,TheAfricawewant,MandelaDay2020,Parliament,COVID19,COVID19,HoldTheLine,COVID19,DigitalTransformation,Covid19SA,AgainstTheodds,cashless,SouthAfrica,BookShelf,COVID19,Women,TheQueens,enthusiast,land,Ethiopia,CNBCAfrica,EnnioMorricone,Tanzanian,socialmediasit,Gresswold,Tanzania,LabourReport,MandelaDay,landscape,MigrationNewsroom,SoundOfResilience,Masuku,,,Assam,Ethiopia,KnowYourHistory,BlackLivesMatter,UnrivalledAMG,poor,EasternCape,ZéroMacabo,Somalia,ONEAfricaAward,etron,,kayaksofa,Sudan,UniversalBasicIncome,righttofood,Digital,WillSmith,Egypt,GeorgeFloyd,Inspiration,BBCAfricaEye,bonds,IEA,USAmbassador,VISIDesign,Bosasa
6,FallonAtHome,SoWhatNow,Tesla,LoadShedding,cyrilramaphosa,FawltyTowers,ServiceDelivery,MidMorningsOn5,ARSLEI,MissSATop15,MTVBaseLounge,BlackLivesMatter,MoneyAndValues,euNITE947,,RebuildBetter,legend,Life1PulseWithSamsung,LiveAMP,Chakwera,,CoronavirusInSA,Agenda2063,IconicSandton,MandelaDay,NowGeneration,CoronaVirus,HoldTheLine,SomethingNew,nextatacer,staysafe,AgainstTheodds,payandgetpaid,RECOVERY,Management,Africa,energy,ThrowbackThursday,Atlantic,Masvingo,Ghanaians,CNBCSpecial,hostages,JoburgEnterprises,refugees,KleenaJoburg,Magufuli,LabourReport,MandelaDay,mothernature,BordersNewsroom,HekimaSeries,COVID19,,,KazirangaNationalPark,BeyondAcademia,Juneteenth,Africa,AMG,Kongi,TrailRun,tech,Malawi,ONEAfricaAward,audisouthafrica,,flutebeats,Sudan,Congo,NGOJobs,business,JadaSmith,Somalia,StayAtHomeLive,Retweet,SexForGrades,Ethiopia,Coronavirus,BurkinaFaso,PicksOfTheWeek,MTBPS2018
7,ClubQuarantine,OneMillionGraves,,Covid19,alcoholmustfall,CoronaCast,SouthAfrica,NewMusicFriday,ARSLEI,SARIEGESELS,StayHome,3TCricket,ValuesAndMoney,enNITE947,,SussexSquad,ANCLogic,InsuranceMeetsTechnology,LiveAMP,Malawi,,TyingTheTebow,1mby2021,BellaLuna,Zlist,MIFBoard,KomesaCorona,abcAM,JohnnyDrille,steampunk,IEC,AgainstTheodds,localization,COVID19,Development,CôtedIvoire,education,EFFTurns7,DarlingBrewWoodstock,Zimbabwe,Gabon,CNBCSpecial,DRCongo,health,Humanitarians,JoburgEnterprises,COVID19,LabourLeaks,MandelaDay,naturerights,migration,Liberia,Masuku,,,Biltong,HIBF2020,Burundi,BlackLivesMatter,MercedesAMG,Mubarak,Goukamma,freepaulchouta,coronavirus,ONEAfricaAward,audiS6,,facepalm,BBC,congoinconversation,JobSeekers,leaders,AugustAlsina,Mogadishu,GoodMorningsOFM,Creativity,BREAKING,stockexchange,Nigeria,Covid,PicksOfTheWeek,journalists
8,WithMe,SoWhatNow,,LoadShedding,IMMEDIATE,CoronaCast,Covid19,NewMusicFriday,CRYCHE,1stOfAll,TBT,SolidarityCup,Youth,euNITE947,,COVID19,ImmediateEffect,1LifePulseWithSamsung,LiveAMP,dreams,,TopBilling,africaine,CreateTomorrow,NationalAssembly,MIFPrize,Tanzania,ABC,coronavirus,YouthDay,LGE2021,AgainstTheodds,smme,ZindziMandela,Skills,COVID19,Africa,BREAKING,HoutBayManor,Zimbabwe,Cameroon,CNBCSpecial,GERD,Tanzania,MentalHealth,WeServeJoburg,COVID19,GE2017,MandelaDay,orangutan,regularisation,اقتصاد,COVID19,,,protein,COVIDー19,2020BETAwards,BlackLivesMatterlondon,EClass,TakeBackAfrika,TrailRun,14juillet,DRC,PassTheMic,S6,,northlane,Ghana,coronavirus,SouthAfrica,digitaldivide,soaugust,African,capetown,ArtistOfTheMonthASA,DC,Ghana,B2B,Appalled,VISIDecor,media
9,AwholeNewSong,SoWhatNow,,LoadShedding,EFFTurns7,UCT,EducationMatters,BraaiJuly,SOUMCI,1stOfAll,ThrowbackThursday,SolidarityCup,RIPNayaRivera,euNITE947,,MalalaDay,cricketisback,InsuranceMeetsTech,LiveAMP,Malawi,,TopBilling,Corruption,Lego,NationalAssembly,COVID19,COVID,Ausmedia,Africa,AshrafGardaShow,YouthDay2020,CNBCAfrica,entrepreneurs,COVID19,Management,TFWA,DidYouKnow,BREAKING,Atlantic,COVID19,Nigerian,CNBCSpecial,BringBackOurGirls,startup,WhiteSaviourComplex,67minutes,Trade,cancelthedebt,MandelaDay,ape,EUarms,جيبوتي,Masuku,,,snacks,coronavirus,TshegoPule,BlackLivesMatter,mbambassador,Africa,Brenton,jobalert,Vital,PassTheMic,audisouthafrica,,darkside,hottestdayoftheyear,coronavirus,EE,DigitalTransformation,redtabletalk,Britain,flipflopday,ArtSouthAfrica,wedding,IPO,intelligence,Meghan,PicksOfTheWeek,SBSJA18
