,@EswatiniGovern1,@MalawiGovt,@hagegeingob,@FinanceSC,@PresidencyZA,@mohzambia,@edmnangagwa,@MinSantedj,@hawelti,@StateHouseKenya,@PaulKagame,@M_Farmaajo,@SouthSudanGov,@SudanPMHamdok,@TZSpokesperson,@KagutaMuseveni,@angola_Mirex,@willynyamitwe,@Cherif_MZ,@Presidence_RDC,@PresidentABO,@PresidenceBenin,@rochkaborepf,@PresidenciaCV,@AOuattara_PRCI,@Presidency_GMB,@NAkufoAddo,@President_GN,@USEmbalo,@PresidenceMali,@CheikhGhazouani,@IssoufouMhm,@MBuhari,@Macky_Sall,@PresidentBio,@MSPS_Togo
0,COVID19,MalawiCabinet,ZindziMandela,COVID19,NelsonMandelaInternationalDay,COVID19,4thOfJuly,COVID19,Eritrea,Covid19,AfricaDay,Somalia,Kiir,TogetherWithSudan,TanzaniaUnforgettable,WorldPopulationDay2020,CyrilRamaphosa,Burundi,Chad,RDC,Education,Wasexo,BurkinaFaso,prevençãocovid19,ConseilDesMinistresCI,Covid19Gambia,GovtThisWeek,COVID19,Portugal,ORTM,,ZLECAf,DemocracyDay2020,ConseildesMinistresSn,SierraLeone,BigData
1,COVID19,MalawiCabinet,DRC,FA4JR,NelsonMandelaInternationalDay,COVID19,AfricaDay2020,Hackathon,Eritrea,Covid_19,EidMubarak,COVID19,Covid19ss,السودان,MagufuliAddress,Jinja,AGNU73,Burundi,UNGA,CitéUA,Gabon,IndependanceBenin,BurkinaFaso,Morna,ConseilDesMinistresCI,gambia,4MoreToDoMoreForYou,Guinea,Guiné,Urgent,,13Mai,PTFCOVID19,ConseildesMinistresSn,SierraLeone,esanté
2,COVID19,MalawiCabinet,HappyFathersDay2020,COVID19,NelsonMandelaInternationalDay,COVID19,mothersday2020,France,Eritrea,JukumuniSisi,COVID19,Somalia,AUMISS,سنصمد_سنعبر_سننتصر,MagufuliAddress,Arua,NewYork,Burundi,AskDag,RDC,Gabon,Ptbenin,Lwili,visitapapa,StopCoronavirus,Gambia,GovtThisWeek,Fêtedutravail,CEDEAO,ORTM,,UAE,COVID19,ConseildesMinistresSn,COVID19,sante
3,COVID19,MalawiCabinet,Periscope,FA4JR,NelsonMandelaInternationalDay,ParentingMonth,COVID19,Djibouti,Eritrea,KomeshaCorona,COVID19,COVID19,SRCC,حوار_رئيس_مجلس_الوزراء,MagufuliAddress,Gulu,Angola,Brazzaville,UNGA72,RDC,CEEAC,Wasexo,Mauritanie,caboverdepapa,COVID19CI,Gambia,4MoreToDoMoreForYou,Guinée,Guiné,Urgent,,EAU,COVID19,ConseildesMinistresSn,DPGAlliance,Lassa
4,COVID19,MalawiCabinet,NamSONA2020,COVID19,NelsonMandelaInternationalDay,COVID19,COVID19,France,Eritrea,COVIDー19,CoronaVirus,CoronavirusPandemic,Biswaro,سنصمد_سنعبر_سننتصر,PresidentAddress,Masaka,Uruguai,RDCongo,AfricaDay2017,RDC,Gabon,ConseilDesMinistres,G5Sahel,papaemcaboverde2020,Covid19,Turkish,RegisterToVote2020,Ramadan,Sénégal,Mali,,1erMai,COVID19,IGE,SierraLeone,Togo
5,COVID19,MalawiCabinet,NamSONA2020,FA4JR,NelsonMandelaInternationalDay,COVID19,NationalCommandCouncil,Djibouti,Eritrea,JukumuniSisi,SafeHands,Norway,SSOT,حوار_رئيس_مجلس_الوزراء,TanzaniaUpdates,FortPortal,Russia,COUSP,AUC,CitéUA,Covid19,ConseilDesMinistres,BurkinaFaso,CaboVerde,COVID19,Gambia,4MoreToDoMoreForYou,Ramadan,Covid_19,Mali,,Niger,PTFCOVID19,diaspora,BudapestBamako,santé
6,COVID19,IndependenceDay,NamSONA2020,COVID19,Presidentialimbizo,WHA73,FélixTshisekedi,Djibouti,Teleferica,CoronaVirus,COVID19,Canada,goodrelations,سنصمد_سنعبر_سننتصر,MagufuliAddress,Mbarara,Angola,Burundi,SouthSudan,RDC,environnement,Prbenin,G5Sahel,NuStaDjuntu,StopCoronavirus,police,RegisterToVote2020,Guinée,Covid_19,IBK,,GlobalVaccine,Coronavirus,Covid19sn,COVID19,Team228
7,COVID19,Malawi,AU,FA4JR,PresidentialImbizo,EPICENTER,COVID19,COVID19,Italians,KomeshaCorona,COVID19,الانتخابات_التونسية,SouthSudan,حوار_رئيس_مجلس_الوزراء,MagufuliAddress,Mbale,World,Burundi,AFP,CitéUA,laboratoire,digitalisation,G5Sahel,AUEU,COVID19,Gambia,4MoreToDoMoreForYou,coronavirus,CoronaPandemie,Urgent,,COVID19,PTFCOVID19,ConseildesMinistresSn,SierraLeone,TgInfo
8,COVID19,InaugurationMalawi2020,AfricaDay,COVID19,PresidentialImbizo,COVID,ZimLockdown,COVID19,Eritrea,KomeshaCorona,COVID19,Somalia,UnitedNations,حوار_رئيس_مجلس_الوزراء,TanzaniaUpdates,COVID19,UN,Blessedtobless,Trump,RDC,Covid19,Benin,G5Sahel,menosalcoolcoolmaisvida,ConseilPresidentiel,Covid19,RegisterToVote2020,Coronavirus,GuineaBissau,Mali,,CEDEAO,thread,ConseildesMinistresSn,coronavirus,Santé
9,COVID19,InaugurationMalawi2020,Agenda2063,FA4JR,ZindziMandela,Zambia,COVID19,COVID19,Eritrea,Coronavirus,COVID19,Somalia,SouthSudan,سنصمد_سنعبر_سننتصر,MagufuliAdress,InternationalWorkersDay,Angola,Burundi,Prevention,RDC,UA,MS,France,lermaissabermais,ConseilPresidentiel,COVID19Gambia,4MoreToDoMoreForYou,coronavirus,AsoVillaToday,Mali,,G5Sahel,30yearsweddinganniversary,ConseildesMinistresSn,COVID,OMS
10,COVID19,InaugurationMalawi2020,EidalFitr2020,COVID19,COVID19,COVID19,SADC,Restezvigilants,Eritrea,WorldEnvironmentDay2020,COVID19,OceanStars,EAC,حوار_رئيس_مجلس_الوزراء,COVIDー19,M7Address,SaudiArabia,Burundi,Irak,PalaisdelaNation,RamadanMubarak,BenjaminHOUNKPATIN,BurkinaFaso,menosalcoolmaisvida,COVID19CI,StopCovid19,RegisterToVote2020,JourneeMondialedelaSanté,Abuja,Mali,,UE,ThanksbetoALLAH,nicolassarkozy,SierraLeone,concours
11,COVID19,InaugurationMalawi2020,AfricaDay,FA4JR,coronavirus,Coronavirus,ARFSD2020,COVID19,Eritreans,Covid19,COVID19,OceanStars,EAC,سنصمد_سنعبر_سننتصر,CoronavirusPandemic,COVID19UG,Portugal,BurundiSport,28thAUsummit,RDC,Gabon,MS,G5Sahel,BuildingSupport,COVID19CI,WearMask,4MoreToDoMoreForYou,Guinée,Nigeria,Urgent,,G5Sahel,EACBrief,ConseilDesMinistresSn,COVID,ESSAL
12,COVID19,InaugurationMalawi2020,HappyBirthdayFoundingFather,FA4JR,EveryWomanEveryChild,Zambia,SportTourism,COVID19,Eritrea,OACPSSummit,ADSW,Japan,COVID19SS,حوار_رئيس_مجلس_الوزراء,CoronavirusPandemic,COVID19,Angola,Burundi,kebetu,CitéUA,Gabon,PrBenin,PNDRP,CaboVerde,StopCoronavirus,Gambia,RegisterToVote2020,Covid19,GuinéeBissau,Covid_19,,UEMOA,NES25,ConseilDesMinistresSn,Social,tginfo
13,COVID19,InaugurationMalawi2020,HappyBirthdayFoundingFather,COVID19,COVID19,SafeHandsChallenge,Zimbabwe,WHA73,ጥንታዊ,MadarakaDay,ConnectRwanda,TICAD7,AU,سنصمد_سنعبر_سننتصر,coronavirus,Uganda,Angola,Burundi,Mali,RDC,COVID19,PatriceTALON,Burkina,BuildingSupport,StopCoronavirus,Covid19,RegisterToVote2020,Guinée,Niamey,Covid_19,,Niger,Thread,ConseilDesMinistresSn,SierraLeoneans,team228
