,mention
0,EUinEswatini
1,UNFPAEswatini
2,TW_Eswatini
3,UEswatini
4,_AfricaTimes
5,UNAIDS
6,UN
7,UNFPAEswatini
8,Rolihlahla93
9,ngu_nonsh
10,mkhuzeni_
11,PholileShakantu
12,PhilileWilson
13,BEswatini
14,MsGugstar
15,MsGugstar
16,eolamijuwon
17,LaDube_N
18,Dungavee
19,UN
20,TW_Eswatini
21,MaxMveni
22,B_Samketi
23,Dopeboy77
24,MFA_Ukraine
25,CyrilRamaphosa
26,FreddRoot
27,Eswatini_TV
28,KMpembekhulu
29,SanibonaniD
30,FreddRoot
31,Eswatini_NDMA
32,iingwen
33,Eswatini_NDMA
34,eolamijuwon
35,eolamijuwon
36,VMlindos
37,Rolihlahla93
38,masekoSD
39,Mkholo_Bless
40,PhilileWilson
41,Mvu_Dlamini
42,MdueKaudi
43,MdueKaudi
44,FreddRoot
45,BusinessLiveSA
46,nomfazoe
47,Eswatini_TV
48,WHO
49,UEswatini
50,S_PGomes
51,iAmElFoe
52,iAmElFoe
53,BEswatini
54,gabs_vil
55,TemarrDee
56,MotsaZakhele
57,Eswatini_TV
58,UEswatini
59,NomaSONG
60,FNBEswatini
61,EswatiniGovern1
62,BulembuSwazi
63,BulembuSwazi
64,Eswatini_TV
65,TW_Eswatini
66,WHO
67,WHO
68,WHO
69,WHO
70,AngeloCoppolaSA
71,WHO
72,KanuFreedom
73,ChakaNiso
74,ChakaNiso
75,ChakaNiso
76,ChakaNiso
77,EWSC_Water
78,EWSC_Water
79,MambaMichaelt
80,NjabuloSMdluli1
81,m_m_Dlamini
82,Eswatini_TV
83,PScotlandCSG
84,TW_Eswatini
85,WandileSihlobo
86,TravelSwaziland
87,BusinessLiveSA
88,SAPPartnerBuild
89,TIBTraveller
90,uMandlakazi
91,TimLambertEFC
92,TravelSwaziland
93,TelegraphTravel
94,IOL
95,mancoba_dludlu
96,ewnreporter
97,TW_Eswatini
98,harrifa
99,madonselaMN
100,TiphoShabalala
101,melusinkhosi
102,USEmbEswatini
103,ParliamentofMw
104,SKChilima
105,LAZARUSCHAKWERA
106,LAZARUSCHAKWERA
107,SKChilima
108,SKChilima
109,SKChilima
110,USEmbassyLLW
111,LAZARUSCHAKWERA
112,LAZARUSCHAKWERA
113,LAZARUSCHAKWERA
114,LAZARUSCHAKWERA
115,LAZARUSCHAKWERA
116,LAZARUSCHAKWERA
117,LAZARUSCHAKWERA
118,LAZARUSCHAKWERA
119,LAZARUSCHAKWERA
120,LAZARUSCHAKWERA
121,LAZARUSCHAKWERA
122,LAZARUSCHAKWERA
123,LAZARUSCHAKWERA
124,LAZARUSCHAKWERA
125,LAZARUSCHAKWERA
126,LAZARUSCHAKWERA
127,LAZARUSCHAKWERA
128,USEmbassyLLW
129,LAZARUSCHAKWERA
130,RailaOdinga
131,SADC_News
132,LAZARUSCHAKWERA
133,LAZARUSCHAKWERA
134,LAZARUSCHAKWERA
135,LAZARUSCHAKWERA
136,LAZARUSCHAKWERA
137,SKChilima
138,LAZARUSCHAKWERA
139,LAZARUSCHAKWERA
140,SKChilima
141,LAZARUSCHAKWERA
142,LAZARUSCHAKWERA
143,APMutharika
144,Airtel_Mw
145,Airtel_Mw
146,alwayswithyoumw
147,BenMPhiri
148,BenMPhiri
149,MarkBotomani
150,APMutharika
151,APMutharika
152,APMutharika
153,APMutharika
154,APMutharika
155,MarkBotomani
156,APMutharika
157,APMutharika
158,APMutharika
159,APMutharika
160,MarkBotomani
161,DerksenHans
162,APMutharika
163,NPCMalawi
164,NPCMalawi
165,NPCMalawi
166,NPCMalawi
