,hashtag,mention
0,SoWhatNow,KingBach
1,SoWhatNow,franklinleonard
2,SoWhatNow,SawyerHackett
3,SoWhatNow,kimlatricejones
4,CliffCentralApp,DEADLINE
5,GCS,Sensational_Dre
6,SoWhatNow,maleeezy_
7,OneMillionGraves,sarahcpr
8,SoWhatNow,michaelharriot
9,SoWhatNow,GaryChambersJr
10,Covid19,DonteStallworth
11,SoWhatNow,jbouie
12,SoWhatNow,TheDailyShow
13,100daysoflockdown,CliffCentralCom
14,SoWhatNow,abelmike
15,CliffCentralCreative,SkyNews
16,SoWhatNow,CliffCentralCom
17,BurningPlatform,GarethCliff
18,SoWhatNow,tumi_morake
19,SoWhatNow,DrElnaRudolph
20,CliffCentralCreative,Devan_Moonsamy
21,SoWhatNow,eNCA
22,GCS,GarethCliff
23,TheGarethCliffShow,eNCA
24,SoWhatNow,bariweiss
25,SoWhatNow,nytimes
26,SoWhatNow,eNCA
27,SoWhatNow,CliffCentralCom
28,SoWhatNow,Njabza
29,eNCA,SoWhatNow_enca
30,SoWhatNow,tumi_morake
31,SoWhatNow,AyandaMtshali
32,SoWhatNow,CliffCentralCom
33,lockdowns,StormReportSA1
34,ADifferentBallGame,SoWhatNow_enca
35,SoWhatNow,GarethCliff
36,SoWhatNow,tumi_morake
37,DStv403,Devan_Moonsamy
38,SoWhatNow,CliffCentralCom
39,SoWhatNow,GarethCliff
40,StateCaptureInquiry,grobler_b
41,MapitiMatsena,callyjean
42,MapitiMatsena,CliffCentralCom
43,MapitiMatsena,CliffCentralCom
44,ExtendTheLicence,SoWhatNow_enca
45,LoadShedding,petridishZA
46,Covid19,CliffCentralCom
47,LoadShedding,GarethCliff
48,LoadShedding,peterboghossian
49,LoadShedding,VusiThembekwayo
50,Covid19inSA,justicemalala
51,CoronavirusSA,CliffCentralCom
52,ZindziMandela,SoWhatNow_enca
53,Covid19inSA,GarethCliff
54,Covid19SA,CraigySmithy
55,Covid19SA,eNCA
56,Covid19SA,eNCA
57,Covid19SA,GarethCliff
58,Covid19SA,AfricaMyHome_
59,Covid19SA,eNCA
60,Covid19SA,peterboghossian
61,Covid19SA,VusiThembekwayo
62,Covid19SA,mynameisjerm
63,Covid19SA,PhumiMashigo1
64,Covid19SA,GarethCliff
65,Covid19SA,CliffCentralCom
66,covid19,CliffCentralCom
67,ZindziMandela,GarethCliff
68,ZindziMandela,LeighAnnMol
69,CyrilRamaphosa,eNCA
70,Covid19SA,VusiThembekwayo
71,Covid19SA,CliffCentralCom
72,Covid19SA,TimCulley
73,Covid19SA,oneononesa
74,CyrilRamaphosa,eNCA
75,Covid19SA,GarethCliff
76,Covid19SA,CoruscaKhaya
77,Covid19SA,JeremyXVR
78,Covid19SA,RediTlhabi
79,Covid19SA,GadSaad
80,Covid19SA,ThisIsMfundo
81,Covid19SA,jjcornish
82,covid19SA,KanthanPillay
83,covid19SA,GarethCliff
84,covid19SA,eNCA
85,CyrilRamaphosa,GarethCliff
86,covid19SA,CoruscaKhaya
87,covid19SA,JeremyXVR
88,covid19SA,RediTlhabi
89,CyrilRamaphosa,GadSaad
90,Covid19SA,eNCA
91,Covid19SA,DouglasKMurray
92,Covid19SA,GadSaad
93,Covid19SA,GadSaad
94,Covid19SA,eNCA
95,Covid19SA,CliffCentralCom
96,IPHCChurchhostage,CliffCentralCom
97,TheOldGuard,GarethCliff
98,LoadShedding,MandyWiener
99,EXCLUSIVE,MightiJamie
100,LoadShedding,Unathi_Kwaza
101,IPHC,eNCA
102,IPHC,GarethCliff
103,IPHC,eNCA
104,IPHC,JJ_Stellies
105,IPHC,Unathi_Kwaza
106,PODCAST,MightiJamie
107,LoadShedding,MandyWiener
108,SchoolStayAway,Unathi_Kwaza
109,ExtendTheLicence,eNCA
110,BlackLivesMatter,eNCA
111,Diepsloot,GarethCliff
112,Diepsloot,Craw1ers
113,StateCaptureInquiry,JJ_Stellies
114,COVID19inSA,Unathi_Kwaza
115,PrEP,MandyWiener
116,AIDS2020Virtual,MightiJamie
117,HIV,SchuksSchuster
118,StrongerTogether,eNCA
119,HIV,JJ_Stellies
120,Steenhuisen,Unathi_Kwaza
121,Steenhuisen,MandyWiener
122,Steenhuisen,MightiJamie
123,Steenhuisen,AnushcaS3
124,Steenhuisen,CliffCentral
125,HIV,SaidBySiya
126,HIV,eNCA
127,AIDS2020Virtual,Unathi_Kwaza
128,HIV,MightiJamie
