ds,yhat
2013-01-02,5560.50860956573
2013-01-03,5341.109611092474
2013-01-04,5471.272270867406
2013-01-05,5559.0922677492745
2013-01-07,5587.3164081841405
2013-01-08,5007.1037019877385
2013-01-09,4811.426987483988
2013-01-10,4654.670849315197
2013-01-11,4853.550008974327
2013-01-12,5014.772060343091
2013-01-14,5198.083335308212
2013-01-15,4696.652042574123
2013-01-16,4578.69614887657
2013-01-17,4497.266799751642
2013-01-18,4767.841804004721
2013-01-19,4996.011594247509
2013-01-21,5295.219631128874
2013-01-22,4841.261665063567
2013-01-23,4763.099630063858
2013-01-24,4713.48598562989
2013-01-25,5007.778728858905
2013-01-26,5251.622711560065
2013-01-28,5559.082959571047
2013-01-29,5098.589608377165
2013-01-30,5007.589071147818
2013-01-31,4939.568695008352
2013-02-01,5210.701275543755
2013-02-02,5427.504105099192
2013-02-04,5672.881436394739
2013-02-05,5179.177258740383
2013-02-06,5054.704676077447
2013-02-07,4953.784183784563
2013-02-08,5193.356877056508
2013-02-09,5380.629313297063
2013-02-11,5575.329935486901
2013-02-12,5061.373344172191
2013-02-13,4920.456991850192
2013-02-14,4807.079969430251
2013-02-15,5038.256662828805
2013-02-16,5221.166715650011
2013-02-18,5418.680355592927
2013-02-19,4911.418927634552
2013-02-20,4780.293371478758
2013-02-21,4679.416161750868
2013-02-22,4925.379290415705
2013-02-23,5124.9171301789565
2013-02-25,5359.3893802670755
2013-02-26,4871.56278955741
2013-02-27,4759.941910948937
2013-02-28,4678.249462132025
2013-03-01,4942.7244970338215
2013-03-02,5159.790328728521
2013-03-04,5425.350924425521
2013-03-05,4950.694870234525
2013-03-06,4850.48020396526
2013-03-07,4778.34885086239
2013-03-08,5050.499774885448
2013-03-09,5273.352743659822
2013-03-11,5544.961078092637
2013-03-12,5070.697017728582
2013-03-13,4969.238026359459
2013-03-14,4894.330327184721
2013-03-15,5162.28431749567
2013-03-16,5379.634559551577
2013-03-18,5636.778420571172
2013-03-19,5153.775309530638
2013-03-20,5042.714680534647
2013-03-21,4957.444043237209
2013-03-22,5214.371661666749
2013-03-23,5420.127815652353
2013-03-25,5652.762905116868
2013-03-26,5157.04223002302
2013-03-27,5033.0946491543145
2013-03-28,4934.881013890225
2013-03-30,5372.009030411958
2013-04-02,5073.541131229741
2013-04-03,4939.215618641456
2013-04-04,4831.612366217174
2013-04-05,5067.432473272667
2013-04-06,5253.605112186775
2013-04-08,5452.844393270763
2013-04-09,4943.895940759655
2013-04-10,4809.400267813209
2013-04-11,4703.564200223467
2013-04-12,4943.131670971285
2013-04-13,5135.037902450759
2013-04-15,5351.525216416947
2013-04-16,4853.895626698046
2013-04-17,4732.312757077941
2013-04-18,4640.778589500935
2013-04-19,4895.7927551032035
2013-04-20,5104.010588794605
2013-04-22,5354.4501379194335
2013-04-23,4873.775012879768
2013-04-24,4768.654511933519
2013-04-25,4692.729953065174
2013-04-26,4962.149196912904
2013-04-27,5183.233917608179
2013-04-29,5453.602605682664
2013-04-30,4979.492281844579
2013-05-02,4803.903245654193
2013-05-03,5072.03626090751
2013-05-04,5289.145073050083
2013-05-06,5543.84189052525
2013-05-07,5058.369321122437
2013-05-08,4943.904489677405
2013-05-10,5105.931892253863
2013-05-11,5305.583567656007
2013-05-13,5524.106591098082
2013-05-14,5020.781213640264
2013-05-15,4889.189728030004
2013-05-16,4783.568089897062
2013-05-17,5020.733498040756
2013-05-18,5207.735140003782
2013-05-21,4898.522941180866
2013-05-22,4763.8221744516895
2013-05-23,4657.684397811523
2013-05-24,4896.863728622359
2013-05-25,5088.27352569997
2013-05-27,5303.193782924438
2013-05-28,4804.292273950035
2013-05-29,4680.932738953406
2013-05-31,4838.686024664565
2013-06-01,5042.595310028947
2013-06-03,5280.621985985391
2013-06-04,4791.510177237185
2013-06-05,4676.279959008116
2013-06-06,4588.471041232131
2013-06-07,4844.16841647745
2013-06-08,5049.675450783466
2013-06-10,5283.4971625434755
2013-06-11,4788.6381150201805
2013-06-12,4665.402599916802
2013-06-13,4567.556429537846
2013-06-14,4811.482113737854
2013-06-15,5003.843998472224
2013-06-17,5208.95468318823
2013-06-18,4699.4708438326525
2013-06-19,4562.091882635189
2013-06-20,4451.082391078655
2013-06-21,4683.308095898252
2013-06-22,4865.886121082944
2013-06-24,5058.752135357726
2013-06-25,4547.438701167071
2013-06-26,4411.387247126605
2013-06-27,4304.977127360147
